n,m,anm,bnm,cnm,amn,bmn,cmn
2,89,1230.781,0.17033,0.0141503,4896.219,-1.86077,-0.0254894
2,90,1625.909,-2.40107,0,159.8103,1.85317,0
2,91,2979.973,4.82369,-0.0272505,724.9113,-4.79411,0.0056279
2,93,-740.2421,0,0,232.905,0,0
2,98,2487.632,-3.28182,0,1804.025,-5.18107,0
2,99,-2399.738,-0.27451,0.0329518,658.1962,0.57714,-0.0078001
3,4,139.2,-0.65,0,-45.33,0.4223,0
3,5,3972,-13.16,0.01208,3049,-12.77,0.01435
3,6,1604.3,-2.0299,0,13.733,-0.11768,0
3,7,792,-1.726,0,332.3,1.158,0
3,8,1356,-2.118,0,2340,-5.043,0
3,9,146.2,-1.237,0.004237,-57.53,1.212,-0.003715
3,10,-365.5,1.874,0,1011,-2.167,0
3,11,-274.54,0.91491,0,622.73,-1.7605,0
3,12,170.5,-0.02393,0,108.3,-0.262,0
3,13,-87.08,-0.1859,0,179,0.05615,0
3,14,2036,-8.729,0.008138,-121,-1.901,0.006999
3,15,139.67,0.037692,0,105.63,-0.60667,0
3,16,-71.4,0.7078,0,16.29,-0.6022,0
3,17,1044.7,-1.7112,0,154.39,1.2458,0
3,18,-1553.9,0.1615,0.0082,1810.8,-5.7594,0.0023
3,19,-17.44,0.9437,0,111.8,-0.5959,0
3,20,69.561,1.8881,0,613.32,-1.595,0
3,21,73.04601,-0.21322,0,-58.972,0.1046,0
3,22,133.66,-0.46141,0,-142.2,0.39662,0
3,23,66.214,-0.63629,0,-78.116,0.69975,0
3,24,269,-1.776,0.002645,-305.5,2.12,-0.003239
3,25,595.2,3.309,-0.02844,1885,-10.98,0.01661
3,26,134.1,-0.8156,0.00145,-330,3.066,-0.005376
3,27,936.3391,-4.4141,0.012232,1866.23,-9.28137,0.008299
3,28,3736,-25,0.04593,574.6,-3.702,0.003682
3,29,77.083,-0.3094,0,-2.1662,0.1196,0
3,30,331.6,0.3778,0,0.4086,-0.4601,0
3,31,-148.14,2.2658,-0.00353,-93.18999,1.5036,-0.00141
3,32,-82.28,0.5677,0,298.9,-0.8374,0
3,33,-248.2,1.214,0,187.5,-0.9020001,0
3,35,347.6,-1.43,0,-345.6,1.545,0
3,37,602.1,-7.798,0.01966,1887,-8.707001,0.007813
3,38,808,-5.331,0.006077,-1367,7.883,-0.007754
3,39,-81.68999,1.1229,-0.00105,58.76,-0.6263,0.000668
3,40,123.26,-0.6133,0,419.04,-0.1703,0
3,41,-126.2,0.386,0,670.8,-1.807,0
3,42,134.6,-1.231,0.001488,-2.619,1.094,-0.001557
3,43,-26.852,-0.44215,0,47.23,0.64039,0
3,44,-1172,10.106,-0.01428,-1141.6,8.656199,-0.015439
3,45,380.02,-0.23326,0,-201.52,-0.068774,0
3,46,313.79,-1.1552,0,-258.12,1.4084,0
3,47,1083.63,0.9144,-0.002141,160.13,-1.3578,0.001331
3,48,92.5,1.4186,1.80E-05,-14.89,-0.8126,2.00E-06
3,49,-103.146,2.6565,-0.002819,45.4296,-0.570848,0.000281
3,52,1412,-3.9917,0,-660.25,1.4602,0
3,53,392.56,0,0,-260.22,0,0
3,55,849.08,-6.5044,0.01219,-358.06,3.6831,-0.00782
3,56,-522.32,3.8856,-0.004212,562.72,-2.4316,0.00242
3,61,454.316,-1.21943,0,-388.19,1.04305,0
3,84,277.4415,-0.1843,0,-223.7499,0.2781,0
3,85,825.9189,-4.35541,0.0085572,20.2719,-0.33187,0.0025793
3,87,-1304.107,3.87435,0.0039496,26.3894,0.38631,-0.0027586
3,89,626.9603,-4.30606,0,2116.398,-2.11062,0
3,90,161.7745,-0.56713,0,785.4488,-3.09114,0
3,91,1690.065,-3.38808,0.0202432,-15.3556,-0.15571,-0.0001404
3,93,-630.416,0,0,-72.2694,0,0
3,98,1014.686,-1.73087,0,877.6001,-1.96581,0
3,99,4899.846,-3.53433,-0.0358313,-969.6266,3.81305,0.0028389
4,5,3989,-14.09,0.0153,2673,-5.765,-0.000332
4,6,436.21,1.9094,0,145.54,-0.48799,0
4,7,1050.2,-1.9939,0,24.144,1.6504,0
4,8,1375,-1.702,0,1825,-3.743,0
4,9,1001,-1.871,0.000239,-146.6,0.2419,0.0001133
4,10,683.6,-1.02,0.000869,1963,2.656,-0.01355
4,11,-242.5,2.72,-0.003449,1624,-9.409,0.01338
4,12,136.98,0,0,377.26,0,0
4,13,-595.1,2.978,0,375,-1.57,0
4,14,2977,-19.16,0.03333,-45.44,5.141,-0.0142
4,15,1250,0,0,-316.22,0,0
4,16,-2631,13.56,-0.007036,978.3,-6.481,0.007088
4,17,4000,-16.68,0.02112,3969,8.497001,-0.005945
4,18,135.3,-2.369,0.0039,1698.1,-9.8887,0.0153
4,19,208.1,1.333,0,170.1,-0.8218,0
4,20,1352.5,0,0,29.747,0,0
4,21,-46.994,0.30443,0,113.07,-0.59569,0
4,22,213.85,0.19998,0,-75.01,-0.42684,0
4,23,192.52,-0.25363,0,-38.939,-0.19378,0
4,24,-106.2,0.6081,0,107.8,-0.6785,0
4,25,-113.6,19.72,0,-69.23,-0.7359,0
4,26,1358,-9.968,0.02093,1014,-4.702,0.004381
4,27,391.044,0.196357,2.25E-05,1931.39,-5.15065,4.52E-07
4,28,2586,-9.5,0.008819,-1494,7.679,-0.01225
4,30,157.9,1.408,0,181.2,-1.081,0
4,31,1856.45,5.9959,-0.01862,1041.33,-5.2068,0.00717
4,32,69,0.4317,0,448.8,-0.9919,0
4,33,277,-0.5955,0,-156.7,0.1221,0
4,35,88.93,0.2236,0,178.6,-0.7113,0
4,37,234.2,-0.2311,0,-115.9,-0.02925,0
4,38,-172.2,0.2257,0,-13.15,0.001763,0
4,39,444.29,0.1947,0,64.28,-0.5839,0
4,40,29.57,0,0,153.32,0,0
4,41,2303,-6.346,0,-736.8,3.332,0
4,42,-107.1,0.2564,0,191.5,-0.5561,0
4,43,-26.486,-0.29519,0,199.48,0.033695,0
4,44,-514.79,4.9372,0,291.65,-1.2039,0
4,45,297.73,-0.24204,0,-248.3,0.25471,0
4,46,72.26,-0.1919,0,763.57,-1.3961,0
4,47,1696.96,-0.7064,0,340.91,-1.008,0
4,48,76.73,0.9394,-0.00045,246.08,-0.8198,-0.000137
4,49,-182.325,3.36729,-0.004625,119.767,-0.608934,0.000607
4,52,1000.8,-2.5194,0,-139.78,0.1146,0
4,53,164.05,0,0,102.04,0,0
4,55,558.08,0.565,-0.00331,562.34,-3.4373,0.00633
4,56,-307.42,4.1819,-0.007723,1661.26,-8.697001,0.01424
4,61,629.463,-1.39039,0,-305.273,0.669085,0
4,84,930.7075,-4.30401,0.007841,365.3965,-1.20387,-0.0007792
4,85,-313.9384,2.06128,0,-134.6708,1.38462,0
4,87,-935.3928,1.26386,0.0041351,4101.374,-1.19824,-0.0186009
4,89,524.3056,-4.26859,0,1259.47,-1.91791,0
4,90,453.4621,-2.03845,0,3997.18,-2.994,0
4,91,1077.47,-2.43883,0,-998.0735,4.48792,0
4,93,-478.068,0,0,15.0501,0,0
4,98,1113.436,-0.428312,0,-281.4692,1.00738,0
4,99,335.1104,2.26653,0.0239277,3792.062,-2.55407,-0.0217293
5,6,346.31,-2.4583,0.0029287,-1218.2,9.7928,-0.016158
5,7,-801.9,3.824,-0.007514,1460,-8.673,0.01641
5,8,83.91,-1.262,0,465.4,-1.841,0
5,9,-250,2.857,-0.006022,653.3,-1.412,0.000954
5,10,-281.4,2.379,-0.006668,1590,-24.57,0.06212
5,11,973.8,-5.633,0.00769,310.4,1.538,-0.004885
5,12,235.9,-0.5874,0,839.6,-1.215,0
5,13,816.7,-5.092,0.006065,650.9,-0.7132,0.000815
5,14,-923.7,2.468,0,-75.63,-0.1511,0
5,15,-355.1,0.58,0,-660.2,1.743,0
5,16,104.6,-5.014,0.008854,1876,11.5,0.09
5,17,-1114,5.916,-0.007126,1325,-6.263,0.007584
5,18,-3061.2,9.5413,0.1842,-643.09,2.9346,-0.0055
5,19,123.5,0.8503,-0.002478,-46,4.415,-0.00878
5,20,-1295,4.3634,0,1525.8,-4.9155,0
5,21,238.1,-0.7077,0,2177,-4.363,0
5,22,-126,0.1322,0,2389,-4.509,0
5,23,1314.8,0,0,963.37,0,0
5,24,925.6,-2.027,0,3139,-5.964,0
5,25,1862,32.07,-0.009397,3664,34.13,0.002987
5,26,741.8,-2.098,0,1091,-1.274,0
5,27,2100,0,0,316.6,0,0
5,30,738.4,-1.771,0,616.5,-0.1457,0
5,31,499.8,-2.41,0,-468.8,2.421,0
5,32,838.8,0,0,774.7,0,0
5,33,699.7,-1.767,0,1439,-1.673,0
5,34,-148.9,1.034,0,1255,-2.538,0
5,35,190.4,-1.2,0,-452.3,1.956,0
5,36,1117,-2.196,0,1072,-1.248,0
5,37,439.4,0,0,959.3,0,0
5,38,848.6,0,0,1253,0,0
5,39,1036,-2.995,0,-366.4,1.129,0
5,41,403.8,-0.9346,0,703.4,-1.383,0
5,42,3121,-13.69,0.01446,2601,-1.25,-0.006309
5,43,401.89,-0.43627,-0.002004,-238.36,5,-0.008186501
5,45,-32.643,-0.010434,0,2985.8,-6.227,0
5,46,1201.3,-4.6803,0,-516.99,2.1888,0
5,47,186.24,-3.1349,0.007737,1460.82,-5.962,0.004691
5,48,1627.81,-5.8598,0.005497,-808.4,3.8321,-0.005877
5,49,-150.961,0.527951,0,868.681,-2.20103,0
5,52,-3745,4.5137,0.0636,7712.2,-7.6896,-0.035
5,53,495.28,-2.6496,0.00159,700.05,0.2237,-0.00244
5,56,34.94,1.0075,-0.002547,942.22,-2.3183,0.001188
5,61,1105.94,-1.68763,0,1343.95,-2.16488,0
5,84,292.6468,-1.59145,0,147.0663,2.08434,0
5,85,1026.29,-3.17777,0,-792.988,3.87681,0
5,87,-348.7564,1.92474,0,1003.498,-2.48421,0
5,89,-2448.212,-2.13997,0.0332832,-234.3916,4.01945,-0.0134709
5,90,1178.048,5.33766,0,1044.876,-3.71273,0
5,91,-159.8631,2.41804,0,662.1286,-3.28127,0
5,93,-367.321,0,0,34.7132,0,0
5,98,225.0235,-4.3271,0.0030855,448.381,-1.61662,0.000518
5,99,-352.184,-1.58363,0.0090199,1751.43,-1.09998,-0.0148923
6,7,-328.5,1.0823,-0.0022,-524.3,4.6065,-0.004
6,8,-867,-1.258,0.02998,265.5,-2.905,0.002283
6,9,86.439,-0.46505,0,394.78,-0.36048,0
6,10,-392.5,2.256,0,-158.4,-0.6469,0
6,11,299.23,-1.2702,0,294.76,0.3745,0
6,12,220.7,-0.6402,0,444.7,-0.06819,0
6,13,-87.48,-0.5522,0,475.2,0.1198,0
6,14,-495.25,1.0807,0,-467.95,0.65743,0
6,15,-1508.5,4.4917,0,-278.09,-0.39888,0
6,16,-1039,5.603,-0.006551,39.33,-3.354,0.006714
6,17,-2012,13.46,-0.02004,251.2,-1.274,0.002214
6,18,-341.34,-5.8042,0.0141,-230.38,-0.3825,0.0023
6,19,97.97301,-0.28666,0,615.01,-0.9444399,0
6,20,-733.07,2.3351,0,1075.5,-3.4339,0
6,21,-16.521,-0.28137,0,1831.2,-2.9694,0
6,22,-85.926,-0.26371,0,1904.4,-2.7981,0
6,23,-139.58,0,0,893.38,0,0
6,24,-40.13,-0.06709,0,2150,-2.813,0
6,25,3000,-11.81,0,2955,-6.383,0
6,26,374.2,-2.212,0.002688,1079,-1.766,0.001238
6,28,-332.4,4.419,-0.007797,2645,-9.172001,0.01177
6,29,75.71,-0.3753,0,1334,-1.863,0
6,30,-369.8,2.203,0,662,-1.903,0
6,31,33.19,-0.2074,0,-3.428,0.483,0
6,32,180.5,0.3161,0,1965,-3.858,0
6,33,28.95,-0.3303,0,648.8,0.8050001,0
6,35,-185.9,0.03906,0,145,-0.6343,0
6,36,164,0,0,135.9,0,0
6,37,-43.88,0,0,2421,0,0
6,38,-99.57999,0,0,1235,0,0
6,39,101.2,-1.078,0,-269.7,1.732,0
6,41,308.7,-1.175,0,678.1,-1.335,0
6,42,68.972,-0.41997,0,2540.7,-3.5236,0
6,43,-308.7,1.7454,-0.00335,952.24,-3.3287,0.0053598
6,45,-242.6,0.29562,-9.01E-05,4519.3,-19.456,0.025981
6,47,-119.08,0.9938,0,-52.69,-0.7465,0
6,48,210.91,-2.4953,0.0048,-132.93,0.6584,-0.00208
6,49,197.395,-0.985958,0,-195.127,1.17652,0
6,52,673.72,-2.3567,0,2676.7,-5.4899,0
6,53,137.95,-1.4112,0.00172,524.52,0.4314,-0.00166
6,56,166.42,0.994,-0.003346,1683.48,-8.003099,0.01159
6,61,34.7884,0,0,641.041,0,0
6,84,-704.2285,-1.26236,0.0149627,152.7192,2.17856,-0.0098745
6,85,-348.9494,1.41462,0,2127.895,-4.14737,0
6,87,-1230.497,3.91001,0,1142.897,-2.92427,0
6,89,-671.2604,1.58636,-0.0048637,985.4429,-2.42145,-0.0062036
6,90,53.7776,-0.9791,0,94.629,0.30192,0
6,91,1741.061,-4.73718,0,-558.6751,1.11398,0
6,93,1216.71,-5.44835,0,-386.355,3.77874,0
6,98,1037.56,-5.46099,0,1421.557,0.34143,0
7,8,-2686,19.44,-0.02702,148.4,-2.757,0.002329
7,9,190.5,-3.669,0.008838,770.6,-0.5873,-0.003252
7,10,-1545,6.512,0,512.6,-2.145,0
7,11,-433.288,3.0862,-0.002012,311.974,-1.3412,0.001074
7,12,140.71,0,0,53.28,0,0
7,13,177.665,-3.72906,0.010763,433.207,-0.605276,-0.000914
7,14,798.5,-5.869,0.01032,-980.6,3.671,-0.005908
7,15,1524,-2.531,0,-851,1.034,0
7,16,274.5,-0.5905,0.002205,-446,-0.7738,0.002634
7,17,158.4,0.5246,0,-131,-0.7957,0
7,18,-3178.5,9.8213,-0.0034,-393.18,0.5546,-0.0029
7,19,-634.1,3.59,0,509.6,-1.916,0
7,20,-1795.2,12.708,-0.015455,624.97,-4.6878,0.0052371
7,21,86.68999,1.592,0,313.3,-0.5041,0
7,22,134.1,0.9495,0,748.2,-1.319,0
7,24,1008,-1.795,0,1282,-2.815,0
7,25,-1895,9.303,0,591.6,-3.08,0
7,26,-595.7,2.634,0,882.6,-2.606,0
7,30,-123.8,3.847,0,501.4,-1.939,0
7,31,372.5,-0.9091,0,-368.8,0.7775,0
7,33,822.2,0,0,-17.99,0,0
7,35,117,-0.611,0,-370.8,0.1043,0
7,36,419.8,2.436,0,276.9,-0.9948,0
7,39,-494.2,2.826,0,-121.8,-0.6029,0
7,41,676,-0.9909,0,808.4,-2.929,0
7,42,274.37,-0.5861,-0.00030011,1632.9,-2.8719,0.003455
7,43,-75.7467,-0.98514,0.0033318,717.485,-1.48515,-7.44E-14
7,44,-804.28,2.828,0,594.45,-2.2535,0
7,45,509.3,-0.29,0,-523.8,3.158,0
7,46,659.22,-1.8841,0,-588.21,0.9707,0
7,47,934.67,-4.4232,0.006054,-649.31,1.3487,-0.001586
7,48,64.43999,-0.0094,0,-439.58,0.3142,0
7,49,-1119.8,7.95909,-0.008555,-128.903,-0.468519,-0.000916
7,53,499.44,-6.6553,0.01656,952.57,-0.8437,-0.0048
7,56,-302.93,0.5975,0,652.86,-1.8013,0
7,61,1038.3,0,0,-270.53,0,0
7,84,659.2109,-0.59252,0.0451602,151.31,-3.00895,0.0019814
7,85,2770.851,-2.00944,0,1996.724,-5.47448,0
7,89,2707.161,-2.51124,-0.0022558,-399.1902,0.16195,-0.0067585
7,90,-1616.174,5.32305,0,275.7479,-1.97057,0
7,91,318.2128,-1.42376,0,385.0068,-2.49001,0
7,93,4878.28,-6.38758,0,-444.615,-0.776483,0
7,98,206.2641,-2.57259,0.0032526,-371.2031,0.99046,-0.000807
8,9,-145.2,-0.738,0,-666.8,1.918,0
8,10,5.604,0,0,-410.21,0,0
8,11,-212.9,0,0,-224.4,0,0
8,13,-329.3,0,0,-80.58,0,0
8,17,542,-6.792,0.01655,-131.1,-0.9399,0.000469
8,18,-4080.9,12.859,-0.0101,-41.594,-3.5887,0.004
8,20,401.88,0,0,281.08,0,0
8,24,2356,-3.347,0,2157,-3.718,0
8,25,555.5,0,0,1554,0,0
8,31,-309,0,0,191.7,0,0
8,42,391.2,-0.8799,0,3630,-6.23,0
8,52,4911.4,9.8501,0,2332.5,-4.0832,0
9,10,197.6,0,0,-93.07999,0,0
9,11,-16.486,-0.27924,0,33.415,0.21913,0
9,12,-83.57,0,0,101.3,0,0
9,13,3645,-26.91,0.04757,695.8,-0.9619,-0.002462
9,15,-47.97,0,0,119.5,0,0
9,16,-389.6,0.1944,0.001863,2831,-13.01,0.01558
9,17,1732,-9.896001,0.0141,1460,-13.73,0.02917
9,18,-1908.7,4.1057,0,307.16,-0.8161,0
9,19,-191,0.6835,0,79.08,-0.3808,0
9,20,-109.51,0.96888,0,178.22,-0.91676,0
9,21,-99.97601,0,0,55.27,0,0
9,22,-18.695,-0.52606,0,-218.94,1.0749,0
9,23,810.17,-3.2209,0.0021443,-48.641,-0.79498,0.0037129
9,24,-208.71,0.8293,-0.0014,155.73,1.4412,-0.0025
9,25,1297,-1.365,-0.02253,1375,2.499,0.006309
9,26,-35.89,-0.1009,0,-32.6,0.0847,0
9,27,-169.6,2.986,0,-328.1,0.3045,0
9,28,419.9,0.09772,0,315.3,-0.5617,0
9,29,2.714,0,0,64.41,0,0
9,30,-986,3.847,0,277,-1.357,0
9,31,478.5,-1.148,0,-72.58,0.4909,0
9,32,346.6,-0.7017,0,-182,0.7905,0
9,33,-717.76,2.9431,0,319.69,-1.4362,0
9,34,-62.43,-0.8977,0,-481.2,9.604,0
9,35,-76.87,0.5372,0,38.06,-0.5189,0
9,37,64.01,-1.077,0,-153.4,3.143,0
9,39,80.79201,-3.702,0.011586,1955.5,-10,0.011386
9,41,64.21,0,0,-148.3,0,0
9,42,437.739,-2.7983,0.00364,364.423,2.1022,-0.004653
9,43,-62.857,0.2898,0,80.038,-0.10124,0
9,45,-497.98,0.79715,0.00029817,945.14,-3.8168,0.0045351
9,47,502.1,0.3401,0,141.01,-0.9829,0
9,48,37.37,0,0,-116.4,0,0
9,49,410.655,-1.1056,0,-201.105,0.7123,0
9,52,-153.7,0.242,0,2311.5,-6.6054,0
9,84,173.4451,-5.52695,0.0160979,958.3726,-4.73012,0.0047161
9,85,824.1235,-2.88368,0.0041569,670.0023,-5.05233,0.0074865
9,87,99.5504,0.45575,0,-1504.191,4.63058,0
9,89,147.2528,-2.74448,0,177.8232,-2.24998,0
9,90,331.1518,-1.11421,0,-30.955,-0.71244,0
9,91,571.6566,-4.43975,0,-1449.573,4.44554,0
9,98,519.4855,-5.4673,0.0068391,3306.365,0.15196,-0.0082641
10,11,-208.4,0,0,389.7,0,0
10,12,-160.7,0,0,226.6,0,0
10,13,209,-0.6241,0,235.7,0.1314,0
10,20,435.64,0,0,-188,0,0
10,21,985.7,-2.986,0,-888.3,3.426,0
10,22,-41.537,0,0,354.71,0,0
10,29,-373.7,0,0,-397.5,0,0
10,30,-742.7,0,0,-214.8,0,0
10,32,114.3,0,0,293.5,0,0
10,34,236.6,0,0,-93.066,0,0
10,37,-43.56,0,0,945.6,0,0
10,39,2371,0,0,-225.3,0,0
10,42,716.7,-1.516,0,1161,-0.5724,0
11,12,342.4,0,0,-251.7,0,0
11,13,195.3,-9.75,0.04051,824.2,-6.009,0.008271
11,15,3168,-24.07,0.04303,3329,-13.78,0.01193
11,16,152.8,-1.099,0,160.8,0.8719,0
11,17,-1355,7.683001,-0.01012,3499,-22.96,0.03543
11,18,87.6,1.4109,0,45.309,-1.4281,0
11,19,-193.23,0.43006,0,139.55,-0.43665,0
11,20,62.031,1.0567,0,59.594,-0.71198,0
11,21,-49.339,0,0,48.852,0,0
11,22,168.17,-1.0536,0,-461.35,1.8569,0
11,24,-5.71,-0.2724,0,223.4,0.1237,0
11,25,3351,-14.54,0,-788.6,1.693,0
11,26,9.222,-0.3292,0,-50.36,0.02448,0
11,28,861.1,-1.693,0,280,-0.9491,0
11,30,80.68999,0,0,-136.3,0,0
11,31,-72.07,0,0,69.25,0,0
11,32,82.96,0,0,11.62,0,0
11,33,-386.3,1.892,0,248.3,-1.198,0
11,35,296.8,-1.264,0,-337.1,0.8843,0
11,36,-92.12,0.9031,0,503.5,-1.792,0
11,37,-201.4,0.5487,0,-320,1.052,0
11,39,96.77,0.4827,0,16.69,-0.5966,0
11,41,-338.8,1.837,0,3.924,-1.174,0
11,42,374.1,-1.976,0.001682,460.8,-0.06206,4.10E-05
11,43,-28.231,0,0,36.948,0,0
11,44,745.4,0,0,-447.04,0,0
11,45,-579.11,0.9455,0,966.35,-2.1861,0
11,47,758.13,-0.2593,0,32.71,-0.8641,0
11,48,611.47,-2.4783,0,-1031.78,3.9906,0
11,49,2973.58,-5.45555,0,81.6384,-1.3111,0
11,56,-1336.2,6.7742,-0.0082,1915.2,-9.9994,0.0126
11,61,-1366.59,5.90673,-0.007325,2622.04,-11.7013,0.013472
12,18,-9.2978,0,0,-123.73,0,0
12,19,92.21,0,0,-33.64,0,0
12,24,-142.2,0.572,0,465.8,-0.7730001,0
12,25,1894,0,0,18.79,0,0
12,29,161.8,0,0,13.97,0,0
12,37,745.4,-0.622,0,-479.1,0.8031,0
12,39,580.3,0,0,-285.5,0,0
12,42,227.6,-0.7762,0,509,-0.2248,0
12,44,489.15,0,0,-441.01,0,0
12,45,260.64,-1.2868,0,-597.09,2.5295,0
13,18,-199.94,-6.9867,0.0193,-430.49,-0.728,0.004
13,19,1987,-8.022,0.01065,-588.8,1.481,-0.002636
13,20,521.48,0,0,-310.82,0,0
13,21,-208.6,-0.2571,0.002418,872,-2.939,0.001269
