No.,Subgroup Name,Main Group No.,Main Group Name,Rk,Qk
81,OH (S),5,OH,1.063,0.8663
82,OH (T),5,OH,0.6895,0.8345
83,CY-CH2O,43,CY-CH2O,1.4046,1.4
84,TRIOXAN,43,CY-CH2O,1.0413,1.0116
85,CNH2,14,CH2NH2,1.6607,0.985
86,NMP,46,CY-CONC,3.981,3.2
87,NEP,46,CY-CONC,3.7543,2.892
88,NIPP,46,CY-CONC,3.5268,2.58
89,NTBP,46,CY-CONC,3.2994,2.352
91,CONH2,47,CONR,1.4515,1.248
92,CONHCH3,47,CONR,1.5,1.08
93,HCONHCH3,49,HCONR,2.4617,2.192
94,HCONHCH2,49,HCONR,2.4617,1.842
100,CONHCH2,47,CONR,1.5,1.08
101,AM(CH3)2,48,CONR2,2.4748,1.9643
102,AMCH3CH2,48,CONR2,2.2739,1.5754
103,AM(CH2)2,48,CONR2,2.0767,1.1866
104,AC2H2S,52,ACS,1.7943,1.34
105,AC2HS,52,ACS,1.6282,1.06
106,AC2S,52,ACS,1.4621,0.78
107,H2COCH,53,EPOXIDES,1.3601,1.8031
108,COCH,53,EPOXIDES,0.683,0.3418
109,HCOCH,53,EPOXIDES,0.9104,0.6538
110,(CH2)2SU,56,SULFONE,2.687,2.12
111,CH2SUCH,56,SULFONE,2.46,1.808
112,(CH3)2CB,55,CARBONAT,2.42,2.4976
113,(CH2)2CB,55,CARBONAT,2.42,2.0018
114,CH2CH3CB,55,CARBONAT,2.42,2.2497
119,H2COCH2,53,EPOXIDES,1.063,1.123
122,CH3S,61,CH2S,1.613,1.368
123,CH2S,61,CH2S,1.3863,1.06
124,CHS,61,CH2S,1.1589,0.748
153,H2COC,53,EPOXIDES,0.9104,0.6538
178,C3H2N2+,84,IMIDAZOL,1.3662,0.6797
179,BTI-,85,BTI,5.621,5.9463
184,C3H3N2+,84,IMIDAZOL,1.843,1.6997
189,C4H8N+,87,PYRROL,2.7867,2.7723
195,BF4-,89,BF4,3.9628,0.6214
196,C5H5N+,90,PYRIDIN,2.1094,2.5106
197,OTF-,91,OTF,3.371,2.0001
201,-S-S-,93,-S-S-,1.0678,2.244
209,SO4,98,SO4,0.9903,3.5249
210,HSO4,98,SO4,1.5654,3.8076
211,PF6,99,PF6,3.8183,3.6018
220,C5H4N+,90,PYRIDIN,2.4873,2.4457
